msa,msa_name,fipstate,fipscty,county_name,latitude,longitude
14100,"Bloomsburg-Berwick, PA Micro Area",42,37,"Columbia County, Pennsylvania",41.0389186,-76.4191791
14140,"Bluefield, WV-VA Micro Area",51,185,"Tazewell County, Virginia",37.1236041,-81.5684129
14180,"Blytheville, AR Micro Area",5,93,"Mississippi County, Arkansas",35.7547987,-90.0875933
14220,"Bogalusa, LA Micro Area",22,117,"Washington Parish, Louisiana",30.8337523,-90.0721467
14260,"Boise City, ID Metro Area",16,1,"Ada County, Idaho",43.4136539,-116.2367421
14300,"Bonham, TX Micro Area",48,147,"Fannin County, Texas",33.5372542,-96.0902822
14380,"Boone, NC Micro Area",37,189,"Watauga County, North Carolina",36.2228105,-81.6863808
14420,"Borger, TX Micro Area",48,233,"Hutchinson County, Texas",35.8148236,-101.34844
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",25,9,"Essex County, Massachusetts",42.6762973,-70.9486776
14500,"Boulder, CO Metro Area",8,13,"Boulder County, Colorado",40.102555,-105.3632079
14540,"Bowling Green, KY Metro Area",21,3,"Allen County, Kentucky",36.7528961,-86.1924103
14580,"Bozeman, MT Metro Area",30,31,"Gallatin County, Montana",45.4868491,-111.1967693
14620,"Bradford, PA Micro Area",42,83,"McKean County, Pennsylvania",41.8019737,-78.5769879
14660,"Brainerd, MN Micro Area",27,21,"Cass County, Minnesota",47.0234117,-94.3454604
14700,"Branson, MO Micro Area",29,213,"Taney County, Missouri",36.6563729,-93.0665776
14710,"Brattleboro, VT Micro Area",50,25,"Windham County, Vermont",42.9948675,-72.73425838842638
14720,"Breckenridge, CO Micro Area",8,65,"Lake County, Colorado",39.2056525,-106.342801
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",53,35,"Kitsap County, Washington",47.594502,-122.6474421
14780,"Brenham, TX Micro Area",48,477,"Washington County, Texas",30.2226352,-96.3936114
14820,"Brevard, NC Micro Area",37,175,"Transylvania County, North Carolina",35.1982216,-82.7724889
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",9,120,"Greater Bridgeport Planning Region, Connecticut",41.204803999999996,-73.22096118901516
14940,"Brigham City, UT-ID Micro Area",16,71,"Oneida County, Idaho",42.1628627,-112.5703083
15020,"Brookhaven, MS Micro Area",28,85,"Lincoln County, Mississippi",31.4885409,-90.4480916
15060,"Brookings, OR Micro Area",41,15,"Curry County, Oregon",42.4265426,-124.216879
15100,"Brookings, SD Micro Area",46,11,"Brookings County, South Dakota",44.3763598,-96.7925213
15180,"Brownsville-Harlingen, TX Metro Area",48,61,"Cameron County, Texas",26.1291189,-97.4134281
15220,"Brownwood, TX Micro Area",48,49,"Brown County, Texas",31.7525184,-98.9904722
15260,"Brunswick-St. Simons, GA Metro Area",13,25,"Brantley County, Georgia",31.1928547,-81.9943569
15340,"Bucyrus, OH Micro Area",39,33,"Crawford County, Ohio",40.8705909,-82.9065596
15380,"Buffalo-Cheektowaga, NY Metro Area",36,29,"Erie County, New York",42.7164263,-78.7620327
