msa,Population
"Ithaca, NY Metro Area",102555
"Jackson, MI Metro Area",160637
"Jackson, MS Metro Area",591397
"Jackson, OH Micro Area",32563
"Jackson, TN Metro Area",180446
"Jackson, WY-ID Micro Area",35159
"Jacksonville, FL Metro Area",1613587
"Jacksonville, IL Micro Area",37781
"Jacksonville, NC Metro Area",203686
"Jacksonville, TX Micro Area",50824
"Jamestown, ND Micro Area",21609
"Jamestown-Dunkirk-Fredonia, NY Micro Area",127440
"Janesville-Beloit, WI Metro Area",163817
"Jasper, AL Micro Area",64978
"Jasper, IN Micro Area",55811
"Jayuya, PR Micro Area",14726
"Jefferson, GA Micro Area",77033
"Jefferson City, MO Metro Area",150182
"Jennings, LA Micro Area",32277
"Jesup, GA Micro Area",30277
"Johnson City, TN Metro Area",207442
"Johnstown, PA Metro Area",133263
"Jonesboro, AR Metro Area",134035
"Joplin, MO Metro Area",181807
"Juneau, AK Micro Area",32108
"Kahului-Wailuku-Lahaina, HI Metro Area",164765
"Kalamazoo-Portage, MI Metro Area",261426
"Kalispell, MT Micro Area",105950
"Kankakee, IL Metro Area",107421
"Kansas City, MO-KS Metro Area",2190750
"Kapaa, HI Micro Area",73511
"Kearney, NE Micro Area",56758
"Keene, NH Micro Area",76610
"Kendallville, IN Micro Area",47431
"Kennett, MO Micro Area",28174
"Kennewick-Richland, WA Metro Area",304252
"Kerrville, TX Micro Area",52810
"Ketchikan, AK Micro Area",13910
"Key West, FL Micro Area",82044
"Kill Devil Hills, NC Micro Area",37160
"Killeen-Temple, TX Metro Area",477577
"Kingsport-Bristol, TN-VA Metro Area",308386
"Kingston, NY Metro Area",182153
"Kingsville, TX Micro Area",30976
"Kinston, NC Micro Area",55071
"Kirksville, MO Micro Area",29365
"Klamath Falls, OR Micro Area",69506
"Knoxville, TN Metro Area",884359
"Kokomo, IN Metro Area",83452
"Laconia, NH Micro Area",63914
"La Crosse-Onalaska, WI-MN Metro Area",139042
"Lafayette, LA Metro Area",479865
"Lafayette-West Lafayette, IN Metro Area",224515
"La Grande, OR Micro Area",26286
"LaGrange, GA-AL Micro Area",104139
"Lake Charles, LA Metro Area",216217
"Lake City, FL Micro Area",69832
"Lake Havasu City-Kingman, AZ Metro Area",214229
"Lakeland-Winter Haven, FL Metro Area",736229
"Lamesa, TX Micro Area",12342
"Lancaster, PA Metro Area",553202
"Lansing-East Lansing, MI Metro Area",538985
"Laramie, WY Micro Area",37525
"Laredo, TX Metro Area",267282
"Las Cruces, NM Metro Area",219870
"Las Vegas, NM Micro Area",31423
"Las Vegas-Henderson-Paradise, NV Metro Area",2265926
"Laurel, MS Micro Area",83472
"Laurinburg, NC Micro Area",34222
"Lawrence, KS Metro Area",119094
"Lawrenceburg, TN Micro Area",44377
"Lawton, OK Metro Area",127314
"Lebanon, MO Micro Area",36060
"Lebanon, NH-VT Micro Area",221463
"Lebanon, PA Metro Area",143258
"Levelland, TX Micro Area",21495
"Lewisburg, PA Micro Area",42908
"Lewisburg, TN Micro Area",34567
"Lewiston, ID-WA Metro Area",64570
"Lewiston-Auburn, ME Metro Area",111532
"Lewistown, PA Micro Area",46146
"Lexington, NE Micro Area",25910
"Lexington-Fayette, KY Metro Area",515954
"Liberal, KS Micro Area",21942
"Lima, OH Metro Area",102087
"Lincoln, IL Micro Area",28027
"Lincoln, NE Metro Area",339707
"Little Rock-North Little Rock-Conway, AR Metro Area",749290
"Lock Haven, PA Micro Area",37860
"Logan, UT-ID Metro Area",148804
"Logansport, IN Micro Area",37820
"London, KY Micro Area",149619
"Longview, TX Metro Area",287359
"Longview, WA Metro Area",110621
"Los Alamos, NM Micro Area",19253
"Los Angeles-Long Beach-Anaheim, CA Metro Area",13111917
"Louisville/Jefferson County, KY-IN Metro Area",1282588
"Lubbock, TX Metro Area",322285
"Ludington, MI Micro Area",29178
"Lufkin, TX Micro Area",86608
"Lumberton, NC Micro Area",117573
"Lynchburg, VA Metro Area",262124
"Macomb, IL Micro Area",27370
"Macon-Bibb County, GA Metro Area",233334
"Madera, CA Metro Area",157243
"Madison, IN Micro Area",33057
"Madison, WI Metro Area",678995
"Madisonville, KY Micro Area",45223
"Magnolia, AR Micro Area",22707
"Malone, NY Micro Area",47459
"Malvern, AR Micro Area",33129
"Manchester-Nashua, NH Metro Area",422733
"Manhattan, KS Metro Area",133834
"Manitowoc, WI Micro Area",81242
"Mankato, MN Metro Area",103402
"Mansfield, OH Metro Area",125008
"Marietta, OH Micro Area",59639
"Marinette, WI-MI Micro Area",65260
"Marion, IN Micro Area",66560
"Marion, NC Micro Area",44629
"Marion, OH Micro Area",65366
"Marquette, MI Micro Area",66376
"Marshall, MN Micro Area",25352
"Marshall, MO Micro Area",23219
"Marshalltown, IA Micro Area",40049
"Martin, TN Micro Area",32946
"Martinsville, VA Micro Area",64299
"Maryville, MO Micro Area",21140
"Mason City, IA Micro Area",50396
"Mayagüez, PR Metro Area",97118
"Mayfield, KY Micro Area",36701
"Maysville, KY Micro Area",17068
"McAlester, OK Micro Area",43758
"McAllen-Edinburg-Mission, TX Metro Area",873167
"McComb, MS Micro Area",40098
"McMinnville, TN Micro Area",41163
"McPherson, KS Micro Area",30085
"Meadville, PA Micro Area",83876
"Medford, OR Metro Area",222604
"Memphis, TN-MS-AR Metro Area",1335804
"Menomonie, WI Micro Area",45221
"Merced, CA Metro Area",282290
"Meridian, MS Micro Area",97274
"Mexico, MO Micro Area",24873
"Miami, OK Micro Area",30472
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6123949
"Michigan City-La Porte, IN Metro Area",112215
"Middlesborough, KY Micro Area",24248
"Midland, MI Metro Area",83503
"Midland, TX Metro Area",174621
"Milledgeville, GA Micro Area",52366
"Milwaukee-Waukesha, WI Metro Area",1568940
"Minden, LA Micro Area",36761
"Mineral Wells, TX Micro Area",28569
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3678328
"Minot, ND Micro Area",77140
"Missoula, MT Metro Area",118541
"Mitchell, SD Micro Area",23409
"Moberly, MO Micro Area",24652
"Mobile, AL Metro Area",429312
"Modesto, CA Metro Area",552063
"Monroe, LA Metro Area",206072
"Monroe, MI Metro Area",154823
"Montgomery, AL Metro Area",384740
"Montrose, CO Micro Area",47759
"Morehead City, NC Micro Area",68353
"Morgan City, LA Micro Area",49114
"Morgantown, WV Metro Area",140194
"Morristown, TN Metro Area",143196
"Moscow, ID Micro Area",39872
"Moses Lake, WA Micro Area",99145
"Moultrie, GA Micro Area",45813
"Mountain Home, AR Micro Area",41801
"Mountain Home, ID Micro Area",28752
"Mount Airy, NC Micro Area",71429
"Mount Gay-Shamrock, WV Micro Area",32350
"Mount Pleasant, MI Micro Area",64938
"Mount Pleasant, TX Micro Area",43844
"Mount Sterling, KY Micro Area",47101
"Mount Vernon, IL Micro Area",37043
"Mount Vernon, OH Micro Area",62657
"Mount Vernon-Anacortes, WA Metro Area",129480
"Muncie, IN Metro Area",112156
"Murray, KY Micro Area",37345
"Muscatine, IA Micro Area",42968
"Muskegon, MI Metro Area",175947
"Muskogee, OK Micro Area",66606
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",496299
"Nacogdoches, TX Micro Area",64768
"Napa, CA Metro Area",137384
"Naples-Marco Island, FL Metro Area",380221
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1990873
"Natchez, MS-LA Micro Area",48102
"Natchitoches, LA Micro Area",37478
"New Bern, NC Metro Area",122678
"Newberry, SC Micro Area",37918
"New Castle, IN Micro Area",48913
"New Castle, PA Micro Area",85907
"New Haven-Milford, CT Metro Area",866377
"New Orleans-Metairie, LA Metro Area",1264357
"New Philadelphia-Dover, OH Micro Area",92840
"Newport, OR Micro Area",50334
"Newport, TN Micro Area",36186
"New Ulm, MN Micro Area",25880
"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19908595
"Niles, MI Metro Area",153938
"Nogales, AZ Micro Area",47838
"Norfolk, NE Micro Area",48667
"North Platte, NE Micro Area",35827
"North Port-Sarasota-Bradenton, FL Metro Area",844461
"North Vernon, IN Micro Area",27610
"North Wilkesboro, NC Micro Area",66125
"Norwalk, OH Micro Area",58518
"Norwich-New London, CT Metro Area",268448
"Oak Harbor, WA Micro Area",86510
"Ocala, FL Metro Area",378225
"Ocean City, NJ Metro Area",95456
"Odessa, TX Metro Area",162300
"Ogden-Clearfield, UT Metro Area",696650
"Ogdensburg-Massena, NY Micro Area",108670
"Oil City, PA Micro Area",50475
