msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Canton-Massillon, OH Metro Area",400960,4.3,9.0,22.1,62859,37323,15940,40.5250362,-81.0927234,180194,166457,13737,7.62345028136342
"Cape Coral-Fort Myers, FL Metro Area",772902,4.5,11.4,27.9,69368,37291,15980,26.5999265,-81.8823135,416332,318303,98029,23.545872044426083
"Cape Girardeau, MO-IL Metro Area",97622,3.6,6.6,21.6,62671,34117,16020,37.1801529,-89.3502834,43679,39105,4574,10.471851461800863
"Carlsbad-Artesia, NM Micro Area",61264,4.2,5.6,19.9,77458,45105,16100,32.4003136,-104.345259,26277,22751,3526,13.418578985424515
"Carroll, IA Micro Area",20728,1.9,6.0,14.3,68041,42114,16140,42.0193628,-94.860335,9490,8764,726,7.650158061116966
"Carson City, NV Metro Area",58249,4.7,6.9,21.1,67465,38574,16180,39.1663259,-119.7670374,24564,23419,1145,4.661292949031102
"Casper, WY Metro Area",79506,3.5,7.9,17.6,69104,41776,16220,42.9487008,-106.8465639,36808,32699,4109,11.163334057813518
"Cedar City, UT Micro Area",58068,3.3,9.9,15.9,63005,28518,16260,37.8546136,-113.2867347,21752,18731,3021,13.888378080176537
"Cedar Rapids, IA Metro Area",275693,3.6,11.4,19.9,75477,43889,16300,42.0599693,-92.0776319,121177,113146,8031,6.627495316768034
"Cedartown, GA Micro Area",43019,4.8,4.6,30.2,51956,35446,16340,33.9981581,-85.1567475,17274,15999,1275,7.381035081625564
"Celina, OH Micro Area",42321,2.0,3.2,19.0,73278,41794,16380,40.4367866,-84.6109122,17888,16288,1600,8.94454382826476
"Centralia, IL Micro Area",37543,8.1,4.8,19.8,59099,35632,16460,38.6477381,-88.9232112,17358,15620,1738,10.012674271229404
"Centralia, WA Micro Area",82663,6.3,7.5,28.0,67247,39823,16500,46.589237,-122.38435711983146,35412,31693,3719,10.502089687111711
"Champaign-Urbana, IL Metro Area",223223,4.8,11.2,17.7,62281,34714,16580,40.1346857,-88.1975558,100435,91237,9198,9.158161995320356
"Charleston, WV Metro Area",257927,5.8,7.0,24.8,54473,37324,16620,37.9970331,-81.71439487504695,126770,111213,15557,12.271830874812654
"Charleston-Mattoon, IL Micro Area",57523,6.0,6.0,18.4,56476,31830,16660,39.5266741,-88.2184999,27467,24137,3330,12.123639276222375
"Charleston-North Charleston, SC Metro Area",803398,4.1,10.7,27.1,77460,44726,16700,33.1595951,-79.9070461,360115,319353,40762,11.319161934382072
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2668688,4.7,16.1,26.8,76177,43712,16740,34.9705848,-80.0958187,1108163,1034018,74145,6.69080270682201
"Charlottesville, VA Metro Area",221648,3.6,16.9,23.7,86188,44024,16820,38.0085107,-78.6086754,98166,87743,10423,10.61772915265978
"Chattanooga, TN-GA Metro Area",564466,4.5,10.2,23.8,65387,38547,16860,34.8911137,-85.131315,247266,225594,21672,8.76465021474849
"Cheyenne, WY Metro Area",100316,3.5,7.5,17.2,76282,43148,16940,41.2737321,-104.7268231,44181,41433,2748,6.219868269165478
"Chico, CA Metro Area",213605,7.1,10.7,21.4,66085,34068,17020,39.6519275,-121.5858444,90133,83268,6865,7.616522250452109
"Chillicothe, OH Micro Area",76957,5.7,3.9,27.4,58048,40373,17060,39.3455507,-83.077359,32066,29386,2680,8.357762115636499
"Cincinnati, OH-KY-IN Metro Area",2253528,4.4,11.2,25.1,76247,43318,17140,39.1340338,-84.9820997,957458,890439,67019,6.999680403735725
"Clarksburg, WV Micro Area",90311,6.0,6.2,24.0,55838,37121,17220,39.2632436,-80.7299566,41162,36794,4368,10.611729264855937
"Clarksdale, MS Micro Area",21264,10.8,7.4,19.9,36075,26851,17260,34.1931314,-90.5653906,10162,8452,1710,16.827396181853967
"Clarksville, TN-KY Metro Area",322949,6.2,5.5,25.2,62188,37192,17300,36.8778665,-87.5014545,129115,117514,11601,8.985013360182782
"Clearlake, CA Micro Area",68024,10.4,14.6,31.0,56259,34898,17340,39.0505411,-122.7776556,34220,27622,6598,19.281122150789013
"Cleveland, MS Micro Area",30688,7.4,2.6,19.2,37845,28382,17380,33.7702263,-90.8519798,13628,11994,1634,11.99002054593484
"Cleveland, TN Metro Area",126479,5.7,5.6,24.0,60001,35346,17420,35.1694469,-84.855938,53342,49007,4335,8.126804394285928
"Clewiston, FL Micro Area",39902,5.8,5.5,30.2,49259,31904,17500,26.9328123,-81.1895983,14971,12644,2327,15.54338387549262
"Clinton, IA Micro Area",46488,4.4,5.8,20.0,61080,38631,17540,41.9054695,-90.5599971,21517,19483,2034,9.452990658549057
"Clovis, NM Micro Area",48327,7.9,2.7,16.6,55427,33649,17580,34.5220133,-103.3099435,21102,18563,2539,12.032034878210595
"Coeur d'Alene, ID Metro Area",173396,3.1,11.7,22.5,71949,38621,17660,47.654857,-116.7162916,74736,67278,7458,9.9791265253693
"Coldwater, MI Micro Area",44795,4.9,5.0,22.1,60600,35925,17740,41.916753,-85.0649374,20749,16780,3969,19.12863270519061
"College Station-Bryan, TX Metro Area",269418,4.7,8.6,19.0,58659,30267,17780,30.6993189,-96.3497772,114483,99027,15456,13.500694426246692
"Colorado Springs, CO Metro Area",755081,5.6,13.4,23.8,82334,42128,17820,38.8287435,-104.5253456,300775,283304,17471,5.808660959188763
"Columbia, MO Metro Area",211078,4.0,7.5,19.7,65863,36007,17860,39.0153926,-92.3307534,91485,83927,7558,8.261463627917145
"Columbia, SC Metro Area",831913,5.7,8.2,25.1,63471,37617,17900,33.6567769,-80.7603948,366298,331048,35250,9.623312166596596
"Columbus, GA-AL Metro Area",326159,6.9,6.8,22.2,55720,35064,17980,32.2698458,-85.1959487,143697,128919,14778,10.28413954362304
