"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"Champaign-Urbana, IL Metro Area","","",""
"    Champaign-Urbana, IL Metro Area","100,435","91,237","9,198"
"Charleston, WV Metro Area","","",""
"    Charleston, WV Metro Area","126,770","111,213","15,557"
"Charleston-Mattoon, IL Micro Area","","",""
"    Charleston-Mattoon, IL Micro Area","27,467","24,137","3,330"
"Charleston-North Charleston, SC Metro Area","","",""
"    Charleston-North Charleston, SC Metro Area","360,115","319,353","40,762"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","","",""
"    Charlotte-Concord-Gastonia, NC-SC Metro Area","1,108,163","1,034,018","74,145"
"Charlottesville, VA Metro Area","","",""
"    Charlottesville, VA Metro Area","98,166","87,743","10,423"
"Chattanooga, TN-GA Metro Area","","",""
"    Chattanooga, TN-GA Metro Area","247,266","225,594","21,672"
"Cheyenne, WY Metro Area","","",""
"    Cheyenne, WY Metro Area","44,181","41,433","2,748"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","","",""
"    Chicago-Naperville-Elgin, IL-IN-WI Metro Area","3,943,945","3,672,824","271,121"
"Chico, CA Metro Area","","",""
"    Chico, CA Metro Area","90,133","83,268","6,865"
"Chillicothe, OH Micro Area","","",""
"    Chillicothe, OH Micro Area","32,066","29,386","2,680"
"Cincinnati, OH-KY-IN Metro Area","","",""
"    Cincinnati, OH-KY-IN Metro Area","957,458","890,439","67,019"
"Clarksburg, WV Micro Area","","",""
"    Clarksburg, WV Micro Area","41,162","36,794","4,368"
"Clarksdale, MS Micro Area","","",""
"    Clarksdale, MS Micro Area","10,162","8,452","1,710"
"Clarksville, TN-KY Metro Area","","",""
"    Clarksville, TN-KY Metro Area","129,115","117,514","11,601"
"Clearlake, CA Micro Area","","",""
"    Clearlake, CA Micro Area","34,220","27,622","6,598"
"Cleveland, MS Micro Area","","",""
"    Cleveland, MS Micro Area","13,628","11,994","1,634"
"Cleveland, TN Metro Area","","",""
"    Cleveland, TN Metro Area","53,342","49,007","4,335"
"Cleveland-Elyria, OH Metro Area","","",""
"    Cleveland-Elyria, OH Metro Area","968,069","887,924","80,145"
"Clewiston, FL Micro Area","","",""
"    Clewiston, FL Micro Area","14,971","12,644","2,327"
"Clinton, IA Micro Area","","",""
"    Clinton, IA Micro Area","21,517","19,483","2,034"
"Clovis, NM Micro Area","","",""
"    Clovis, NM Micro Area","21,102","18,563","2,539"
"Coamo, PR Micro Area","","",""
"    Coamo, PR Micro Area","16,420","14,060","2,360"
"Coco, PR Micro Area","","",""
"    Coco, PR Micro Area","13,496","10,757","2,739"
"Coeur d'Alene, ID Metro Area","","",""
"    Coeur d'Alene, ID Metro Area","74,736","67,278","7,458"
"Coffeyville, KS Micro Area","","",""
"    Coffeyville, KS Micro Area","15,569","12,968","2,601"
"Coldwater, MI Micro Area","","",""
"    Coldwater, MI Micro Area","20,749","16,780","3,969"
"College Station-Bryan, TX Metro Area","","",""
"    College Station-Bryan, TX Metro Area","114,483","99,027","15,456"
"Colorado Springs, CO Metro Area","","",""
"    Colorado Springs, CO Metro Area","300,775","283,304","17,471"
"Columbia, MO Metro Area","","",""
"    Columbia, MO Metro Area","91,485","83,927","7,558"
"Columbia, SC Metro Area","","",""
"    Columbia, SC Metro Area","366,298","331,048","35,250"
"Columbus, GA-AL Metro Area","","",""
